date,product_name,store_code,promotion_flag,flag,sale_qty
2015-01-01,백산수2.0L,1,0,1,681
2015-01-02,백산수2.0L,1,0,1,669
2015-01-03,백산수2.0L,1,0,1,721
2015-01-04,백산수2.0L,1,0,1,725
2015-01-05,백산수2.0L,1,0,1,452
2015-01-06,백산수2.0L,1,0,1,486
2015-01-07,백산수2.0L,1,0,1,340
2015-01-08,백산수2.0L,1,0,1,244
2015-01-09,백산수2.0L,1,0,1,394
2015-01-10,백산수2.0L,1,0,1,763
2015-01-11,백산수2.0L,1,0,0,0
2015-01-12,백산수2.0L,1,0,1,489
2015-01-13,백산수2.0L,1,0,1,404
2015-01-14,백산수2.0L,1,0,1,419
2015-01-15,백산수2.0L,1,0,1,295
2015-01-16,백산수2.0L,1,0,1,325
2015-01-17,백산수2.0L,1,0,1,726
2015-01-18,백산수2.0L,1,0,1,689
2015-01-19,백산수2.0L,1,0,1,447
2015-01-20,백산수2.0L,1,0,1,283
2015-01-21,백산수2.0L,1,0,1,280
2015-01-22,백산수2.0L,1,0,1,373
2015-01-23,백산수2.0L,1,0,1,454
2015-01-24,백산수2.0L,1,0,1,881
2015-01-25,백산수2.0L,1,0,0,0
2015-01-26,백산수2.0L,1,0,1,558
2015-01-27,백산수2.0L,1,0,1,372
2015-01-28,백산수2.0L,1,0,1,397
2015-01-29,백산수2.0L,1,0,1,327
2015-01-30,백산수2.0L,1,0,1,350
2015-01-31,백산수2.0L,1,0,1,681
2015-02-01,백산수2.0L,1,0,1,813
2015-02-02,백산수2.0L,1,0,1,442
2015-02-03,백산수2.0L,1,0,1,421
2015-02-04,백산수2.0L,1,0,1,269
2015-02-05,백산수2.0L,1,0,1,352
2015-02-06,백산수2.0L,1,0,1,380
2015-02-07,백산수2.0L,1,0,1,741
2015-02-08,백산수2.0L,1,0,0,0
2015-02-09,백산수2.0L,1,0,1,443
2015-02-10,백산수2.0L,1,0,1,383
2015-02-11,백산수2.0L,1,0,1,419
2015-02-12,백산수2.0L,1,0,1,506
2015-02-13,백산수2.0L,1,0,1,589
2015-02-14,백산수2.0L,1,0,1,877
2015-02-15,백산수2.0L,1,0,1,1043
2015-02-16,백산수2.0L,1,0,1,769
2015-02-17,백산수2.0L,1,0,1,1008
2015-02-18,백산수2.0L,1,0,1,1266
2015-02-19,백산수2.0L,1,0,1,514
2015-02-20,백산수2.0L,1,0,1,707
2015-02-21,백산수2.0L,1,0,1,913
2015-02-22,백산수2.0L,1,0,0,0
2015-02-23,백산수2.0L,1,0,1,789
2015-02-24,백산수2.0L,1,0,1,433
2015-02-25,백산수2.0L,1,0,1,604
2015-02-26,백산수2.0L,1,0,1,480
2015-02-27,백산수2.0L,1,0,1,408
2015-02-28,백산수2.0L,1,0,1,783
2015-03-01,백산수2.0L,1,0,1,939
2015-03-02,백산수2.0L,1,0,1,288
2015-03-03,백산수2.0L,1,0,1,340
2015-03-04,백산수2.0L,1,0,1,427
2015-03-05,백산수2.0L,1,0,1,339
2015-03-06,백산수2.0L,1,0,1,560
2015-03-07,백산수2.0L,1,0,1,863
2015-03-08,백산수2.0L,1,0,0,0
2015-03-09,백산수2.0L,1,0,1,450
2015-03-10,백산수2.0L,1,0,1,289
2015-03-11,백산수2.0L,1,0,1,1053
2015-03-12,백산수2.0L,1,0,1,1118
