,date,year,month,day,weekday,weeknum,weekend,national_holiday,break,mean_temp,precipitation_1day,mean_humidity,mean_pressure,sin_month,cos_month,sin_day,cos_day,sin_weekday,cos_weekday,sin_weeknum,cos_weeknum,dow_금요일,dow_목요일,dow_수요일,dow_월요일,dow_일요일,dow_토요일,dow_화요일,holi_name_0,holi_name_1월1일,holi_name_개천절,holi_name_광복절,holi_name_국회의원선거일,holi_name_기독탄신일,holi_name_대체공휴일,holi_name_대체휴무일,holi_name_대통령선거일,holi_name_부처님오신날,holi_name_삼일절,holi_name_석가탄신일,holi_name_설날,holi_name_신정,holi_name_어린이날,holi_name_임시공휴일,holi_name_전국동시지방선거,holi_name_추석,holi_name_한글날,holi_name_현충일,promotion_flag_1_bac_2,sale_qty_1_bac_2,promotion_flag_6_bac_2,sale_qty_6_bac_2,promotion_flag_1_bac_5,sale_qty_1_bac_5,promotion_flag_6_bac_5,sale_qty_6_bac_5,promotion_flag_1_sin,sale_qty_1_sin,promotion_flag_6_sin,sale_qty_6_sin,promotion_flag_1_ans,sale_qty_1_ans,promotion_flag_6_ans,sale_qty_6_ans,promotion_flag_1_jin,sale_qty_1_jin,promotion_flag_6_jin,sale_qty_6_jin,outliersale_qty_1_bac_2,outliersale_qty_6_bac_2,outliersale_qty_1_bac_5,outliersale_qty_6_bac_5,outliersale_qty_1_sin,outliersale_qty_6_sin,outliersale_qty_1_ans,outliersale_qty_6_ans,outliersale_qty_1_jin,outliersale_qty_6_jin
0,2015-01-01,2015,1,1,4,1,0,1,1,-2.2,0,35.4,1012.3,0.5,0.866025404,0.20129852,0.979529941,-0.433883739,-0.900968868,0.118273171,0.992981096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,681,0,727,0,703,0,556,1,370,1,270,0,283,0,251,1,53,1,61,0,0,0,0,1,1,0,0,0,0
1,2015-01-02,2015,1,2,5,1,0,0,0,-1,0,41.3,1014.4,0.5,0.866025404,0.394355855,0.918957812,-0.974927912,-0.222520934,0.118273171,0.992981096,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,486,0,566,0,505,1,370,1,270,0,247,0,135,1,48,1,27,0,0,0,0,1,1,0,0,0,0
2,2015-01-03,2015,1,3,6,1,1,0,1,1.8,0,32,1013.6,0.5,0.866025404,0.571268215,0.820763441,-0.781831482,0.623489802,0.118273171,0.992981096,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0,551,0,631,0,548,1,370,1,270,0,279,0,195,1,43,1,51,0,0,0,0,1,1,0,0,0,0
3,2015-01-04,2015,1,4,7,1,1,0,1,7,0,53.8,1009.5,0.5,0.866025404,0.724792787,0.688966919,-2.45E-16,1,0.118273171,0.992981096,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,655,0,575,0,262,1,370,1,270,0,233,0,242,1,42,1,36,0,0,0,0,1,1,0,0,0,0
4,2015-01-05,2015,1,5,1,2,0,0,0,9.3,0.5,67.4,1008.8,0.5,0.866025404,0.848644257,0.52896401,0.781831482,0.623489802,0.234886046,0.972022914,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,351,0,457,0,408,1,370,1,270,0,150,0,148,1,36,1,33,0,0,0,0,1,1,0,0,0,0
5,2015-01-06,2015,1,6,2,2,0,0,0,7.6,26,48.8,1002.1,0.5,0.866025404,0.937752132,0.347305253,0.974927912,-0.222520934,0.234886046,0.972022914,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,265,0,792,0,348,1,370,1,270,0,166,0,100,1,24,1,19,0,0,0,0,1,1,0,0,0,0
6,2015-01-07,2015,1,7,3,2,0,0,0,1.4,0,24,1009.8,0.5,0.866025404,0.988468324,0.151427778,0.433883739,-0.900968868,0.234886046,0.972022914,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,199,0,272,0,460,1,129,1,107,0,187,0,93,1,43,1,29,0,0,0,0,0,0,0,0,0,0
7,2015-01-08,2015,1,8,4,2,0,0,0,0.8,0,33.8,1014.2,0.5,0.866025404,0.998716507,-0.050649169,-0.433883739,-0.900968868,0.234886046,0.972022914,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,269,0,382,0,394,0,144,0,94,0,168,0,116,0,45,0,24,0,0,0,0,0,0,0,0,0,0
8,2015-01-09,2015,1,9,5,2,0,0,0,2.8,0,44.5,1014.7,0.5,0.866025404,0.968077119,-0.250652532,-0.974927912,-0.222520934,0.234886046,0.972022914,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,360,0,723,0,509,0,147,0,126,0,211,0,139,0,30,0,20,0,0,0,0,0,0,0,0,0,0
9,2015-01-10,2015,1,10,6,2,1,0,1,4,0,42.3,1014.3,0.5,0.866025404,0.89780454,-0.440394152,-0.781831482,0.623489802,0.234886046,0.972022914,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,833,0,903,0,476,0,262,0,256,0,325,0,212,0,69,0,57,0,0,0,0,0,0,0,0,0,0
