date,holiday_name,year,month,day,weekday,dow,weeknum,national_holiday
2019-11-01,0,2019,11,1,5,금요일,44,0
2019-11-02,0,2019,11,2,6,토요일,44,0
2019-11-03,0,2019,11,3,7,일요일,44,0
2019-11-04,0,2019,11,4,1,월요일,45,0
2019-11-05,0,2019,11,5,2,화요일,45,0
2019-11-06,0,2019,11,6,3,수요일,45,0
2019-11-07,0,2019,11,7,4,목요일,45,0
2019-11-08,0,2019,11,8,5,금요일,45,0
2019-11-09,0,2019,11,9,6,토요일,45,0
2019-11-10,0,2019,11,10,7,일요일,45,0
2019-11-11,0,2019,11,11,1,월요일,46,0
2019-11-12,0,2019,11,12,2,화요일,46,0
2019-11-13,0,2019,11,13,3,수요일,46,0
2019-11-14,0,2019,11,14,4,목요일,46,0
2019-11-15,0,2019,11,15,5,금요일,46,0
2019-11-16,0,2019,11,16,6,토요일,46,0
2019-11-17,0,2019,11,17,7,일요일,46,0
2019-11-18,0,2019,11,18,1,월요일,47,0
2019-11-19,0,2019,11,19,2,화요일,47,0
2019-11-20,0,2019,11,20,3,수요일,47,0
2019-11-21,0,2019,11,21,4,목요일,47,0
2019-11-22,0,2019,11,22,5,금요일,47,0
2019-11-23,0,2019,11,23,6,토요일,47,0
2019-11-24,0,2019,11,24,7,일요일,47,0
2019-11-25,0,2019,11,25,1,월요일,48,0
2019-11-26,0,2019,11,26,2,화요일,48,0
2019-11-27,0,2019,11,27,3,수요일,48,0
2019-11-28,0,2019,11,28,4,목요일,48,0
2019-11-29,0,2019,11,29,5,금요일,48,0
2019-11-30,0,2019,11,30,6,토요일,48,0
2019-12-01,0,2019,12,1,7,일요일,48,0
2019-12-02,0,2019,12,2,1,월요일,49,0
2019-12-03,0,2019,12,3,2,화요일,49,0
2019-12-04,0,2019,12,4,3,수요일,49,0
2019-12-05,0,2019,12,5,4,목요일,49,0
2019-12-06,0,2019,12,6,5,금요일,49,0
2019-12-07,0,2019,12,7,6,토요일,49,0
2019-12-08,0,2019,12,8,7,일요일,49,0
2019-12-09,0,2019,12,9,1,월요일,50,0
2019-12-10,0,2019,12,10,2,화요일,50,0
2019-12-11,0,2019,12,11,3,수요일,50,0
2019-12-12,0,2019,12,12,4,목요일,50,0
2019-12-13,0,2019,12,13,5,금요일,50,0
2019-12-14,0,2019,12,14,6,토요일,50,0
2019-12-15,0,2019,12,15,7,일요일,50,0
2019-12-16,0,2019,12,16,1,월요일,51,0
2019-12-17,0,2019,12,17,2,화요일,51,0
2019-12-18,0,2019,12,18,3,수요일,51,0
2019-12-19,0,2019,12,19,4,목요일,51,0
2019-12-20,0,2019,12,20,5,금요일,51,0
2019-12-21,0,2019,12,21,6,토요일,51,0
2019-12-22,0,2019,12,22,7,일요일,51,0
2019-12-23,0,2019,12,23,1,월요일,52,0
2019-12-24,0,2019,12,24,2,화요일,52,0
2019-12-25,기독탄신일,2019,12,25,3,수요일,52,1
2019-12-26,0,2019,12,26,4,목요일,52,0
2019-12-27,0,2019,12,27,5,금요일,52,0
2019-12-28,0,2019,12,28,6,토요일,52,0
2019-12-29,0,2019,12,29,7,일요일,52,0
2019-12-30,0,2019,12,30,1,월요일,1,0
2019-12-31,0,2019,12,31,2,화요일,1,0
2020-01-01,신정,2015,1,1,4,목요일,1,1
2020-01-02,0,2015,1,2,5,금요일,1,0
2020-01-03,0,2015,1,3,6,토요일,1,0
2020-01-04,0,2015,1,4,7,일요일,1,0
2020-01-05,0,2015,1,5,1,월요일,1,0
2020-01-06,0,2015,1,6,2,화요일,2,0
2020-01-07,0,2015,1,7,3,수요일,2,0
2020-01-08,0,2015,1,8,4,목요일,2,0
2020-01-09,0,2015,1,9,5,금요일,2,0
2020-01-10,0,2015,1,10,6,토요일,2,0
2020-01-11,0,2015,1,11,7,일요일,2,0
2020-01-12,0,2015,1,12,1,월요일,2,0
2020-01-13,0,2015,1,13,2,화요일,3,0
2020-01-14,0,2015,1,14,3,수요일,3,0
2020-01-15,0,2015,1,15,4,목요일,3,0
2020-01-16,0,2015,1,16,5,금요일,3,0
2020-01-17,0,2015,1,17,6,토요일,3,0
2020-01-18,0,2015,1,18,7,일요일,3,0
